x_km,y_km,z_km,vx_kms,vy_kms,vz_kms
6.3086033366e+08,3.9086440784e+08,-1.5737969364e+07,-7.0389480247e+00,1.1734570242e+01,1.0881568784e-01
6.2470182531e+08,4.0095385888e+08,-1.5642110452e+07,-7.2145982630e+00,1.1619790452e+01,1.1309433022e-01
6.1839266683e+08,4.1094632992e+08,-1.5542445042e+07,-7.3903961478e+00,1.1509344245e+01,1.1756166611e-01
6.1193314347e+08,4.2083911639e+08,-1.5439029686e+07,-7.5617939012e+00,1.1391101998e+01,1.2185029223e-01
6.0532585279e+08,4.3063027101e+08,-1.5331869230e+07,-7.7324255895e+00,1.1271760523e+01,1.2615050164e-01
5.9857233650e+08,4.4031722543e+08,-1.5221000343e+07,-7.9018204468e+00,1.1152363034e+01,1.3049639186e-01
5.9167368247e+08,4.4989775214e+08,-1.5106465509e+07,-8.0657641103e+00,1.1025266139e+01,1.3467648402e-01
5.8463286574e+08,4.5936984739e+08,-1.4988270150e+07,-8.2314824875e+00,1.0899464135e+01,1.3889796613e-01
5.7745052896e+08,4.6873102178e+08,-1.4866471824e+07,-8.3943375017e+00,1.0769491244e+01,1.4302849572e-01
5.7012935817e+08,4.7797933061e+08,-1.4741087724e+07,-8.5525589914e+00,1.0637700195e+01,1.4718459893e-01
5.6267106898e+08,4.8711254523e+08,-1.4612153566e+07,-8.7121396635e+00,1.0504003806e+01,1.5126845164e-01
5.5507704543e+08,4.9612857474e+08,-1.4479715738e+07,-8.8663867171e+00,1.0366416503e+01,1.5530509596e-01
5.4735030319e+08,5.0502546197e+08,-1.4343790371e+07,-9.0185723218e+00,1.0228374202e+01,1.5936410391e-01
5.3949165388e+08,5.1380112949e+08,-1.4204431371e+07,-9.1714722669e+00,1.0084657394e+01,1.6321059764e-01
5.3150407655e+08,5.2245367582e+08,-1.4061663680e+07,-9.3189721696e+00,9.9429107064e+00,1.6720866143e-01
5.2338932545e+08,5.3098101370e+08,-1.3915531346e+07,-9.4649948224e+00,9.7972084786e+00,1.7108824005e-01
5.1514896652e+08,5.3938141573e+08,-1.3766078882e+07,-9.6092266273e+00,9.6471915264e+00,1.7483928292e-01
5.0678626622e+08,5.4765294094e+08,-1.3613331007e+07,-9.7492014450e+00,9.5002771268e+00,1.7875688278e-01
4.9830201031e+08,5.5579377116e+08,-1.3457345379e+07,-9.8881065660e+00,9.3445177509e+00,1.8236304069e-01
4.8969939613e+08,5.6380230602e+08,-1.3298145311e+07,-1.0025277355e+01,9.1911136019e+00,1.8606454849e-01
4.8098039763e+08,5.7167651393e+08,-1.3135781065e+07,-1.0158501329e+01,9.0371468475e+00,1.8978922776e-01
4.7214652537e+08,5.7941491106e+08,-1.2970301022e+07,-1.0288939593e+01,8.8755030725e+00,1.9326797845e-01
4.6320129310e+08,5.8701579405e+08,-1.2801730315e+07,-1.0418034112e+01,8.7185574840e+00,1.9691392308e-01
4.5414562331e+08,5.9447743697e+08,-1.2630134168e+07,-1.0542965526e+01,8.5549676538e+00,2.0035717442e-01
4.4498268531e+08,6.0179847799e+08,-1.2455541236e+07,-1.0666083119e+01,8.3898950000e+00,2.0374501766e-01
4.3571475648e+08,6.0897716969e+08,-1.2278000162e+07,-1.0788303654e+01,8.2269662077e+00,2.0719123261e-01
4.2634342773e+08,6.1601209222e+08,-1.2097568242e+07,-1.0904271287e+01,8.0578794001e+00,2.1048024231e-01
4.1687221364e+08,6.2290179551e+08,-1.1914274093e+07,-1.1019356571e+01,7.8902361752e+00,2.1380235479e-01
4.0730230045e+08,6.2964485461e+08,-1.1728180660e+07,-1.1132568651e+01,7.7191144232e+00,2.1698825600e-01
3.9763687008e+08,6.3623994118e+08,-1.1539326830e+07,-1.1240068331e+01,7.5466008953e+00,2.2016436885e-01
3.8787824417e+08,6.4268566528e+08,-1.1347759820e+07,-1.1348650471e+01,7.3734015437e+00,2.2325561106e-01
3.7802826513e+08,6.4898082871e+08,-1.1153537751e+07,-1.1452670170e+01,7.1978178321e+00,2.2628182832e-01
3.6809044705e+08,6.5512399850e+08,-1.0956701363e+07,-1.1551658705e+01,7.0233130280e+00,2.2937390032e-01
3.5806602860e+08,6.6111417427e+08,-1.0757310876e+07,-1.1651408450e+01,6.8430884045e+00,2.3220040042e-01
3.4795840549e+08,6.6695016758e+08,-1.0555409375e+07,-1.1745728302e+01,6.6650987138e+00,2.3512719884e-01
3.3776987200e+08,6.7263073349e+08,-1.0351050817e+07,-1.1837802312e+01,6.4850005661e+00,2.3795365942e-01
3.2750233671e+08,6.7815509561e+08,-1.0144288541e+07,-1.1928939497e+01,6.3010267365e+00,2.4059569486e-01
3.1715951808e+08,6.8352189091e+08,-9.9351682564e+06,-1.2014215919e+01,6.1223235201e+00,2.4345120298e-01
3.0674255933e+08,6.8873033530e+08,-9.7237536711e+06,-1.2097459756e+01,5.9358025867e+00,2.4599821576e-01
2.9625491352e+08,6.9377957909e+08,-9.5100851807e+06,-1.2178661061e+01,5.7506191107e+00,2.4855413689e-01
2.8569904740e+08,6.9866847620e+08,-9.2942210734e+06,-1.2256094593e+01,5.5670212655e+00,2.5115015875e-01
2.7507675088e+08,7.0339648819e+08,-9.0762184879e+06,-1.2330975749e+01,5.3765301066e+00,2.5346421270e-01
2.6439188130e+08,7.0796254327e+08,-8.8561214024e+06,-1.2403510262e+01,5.1918911787e+00,2.5594876312e-01
